price
75.0
104.0
369.0
300.0
92.0
64.0
265.0
35.0
287.0
69.0
52.0
23.0
287.0
87.0
114.0
114.0
98.0
137.0
87.0
90.0
63.0
69.0
80.0
113.0
58.0
115.0
30.0
35.0
92.0
460.0
74.0
72.0
63.0
115.0
60.0
75.0
31.0
277.0
52.0
218.0
132.0
316.0
127.0
87.0
449.0


